59: min_energy: 60.0, max_energy: 554.0, {'qpu_sampling_time': 16852.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 127.98, 'qpu_access_time': 31922.36, 'qpu_access_overhead_time': 4254.64, 'qpu_programming_time': 15070.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1374.0, 'post_processing_overhead_time': 1374.0}
60: min_energy: -138.0, max_energy: -135.0, {'qpu_sampling_time': 13830.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 97.76, 'qpu_access_time': 28899.96, 'qpu_access_overhead_time': 6164.04, 'qpu_programming_time': 15069.96, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 2049.0, 'post_processing_overhead_time': 2049.0}
61: min_energy: 1441.0, max_energy: 11793.0, {'qpu_sampling_time': 16030.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 119.76, 'qpu_access_time': 31102.36, 'qpu_access_overhead_time': 4233.64, 'qpu_programming_time': 15072.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 545.0, 'post_processing_overhead_time': 545.0}
62: min_energy: 1294.0, max_energy: 7929.0, {'qpu_sampling_time': 15662.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 116.08, 'qpu_access_time': 30731.96, 'qpu_access_overhead_time': 2124.04, 'qpu_programming_time': 15069.96, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 538.0, 'post_processing_overhead_time': 538.0}
63: min_energy: 233.0, max_energy: 1853.0, {'qpu_sampling_time': 15374.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 113.2, 'qpu_access_time': 30447.96, 'qpu_access_overhead_time': 3827.04, 'qpu_programming_time': 15073.96, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 450.0, 'post_processing_overhead_time': 450.0}
64: min_energy: 1246.0, max_energy: 7688.0, {'qpu_sampling_time': 17904.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 138.5, 'qpu_access_time': 32975.56, 'qpu_access_overhead_time': 7542.44, 'qpu_programming_time': 15071.56, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 643.0, 'post_processing_overhead_time': 643.0}
65: min_energy: 413.0, max_energy: 2720.0, {'qpu_sampling_time': 18976.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 149.22, 'qpu_access_time': 34046.76, 'qpu_access_overhead_time': 7530.24, 'qpu_programming_time': 15070.76, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 2399.0, 'post_processing_overhead_time': 2399.0}
66: min_energy: 613.0, max_energy: 3305.0, {'qpu_sampling_time': 17396.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 133.42, 'qpu_access_time': 32468.76, 'qpu_access_overhead_time': 4475.24, 'qpu_programming_time': 15072.76, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 2220.0, 'post_processing_overhead_time': 2220.0}
67: min_energy: 3356.0, max_energy: 14611.0, {'qpu_sampling_time': 20480.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 164.26, 'qpu_access_time': 35553.96, 'qpu_access_overhead_time': 5208.04, 'qpu_programming_time': 15073.96, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 2317.0, 'post_processing_overhead_time': 2317.0}
68: min_energy: 832.0, max_energy: 3838.0, {'qpu_sampling_time': 20162.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 161.08, 'qpu_access_time': 35232.36, 'qpu_access_overhead_time': 3450.64, 'qpu_programming_time': 15070.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 661.0, 'post_processing_overhead_time': 661.0}
69: min_energy: 1261.0, max_energy: 5455.0, {'qpu_sampling_time': 18232.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 141.78, 'qpu_access_time': 33306.36, 'qpu_access_overhead_time': 3989.64, 'qpu_programming_time': 15074.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 2569.0, 'post_processing_overhead_time': 2569.0}
70: min_energy: 135.0, max_energy: 745.0, {'qpu_sampling_time': 14120.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 100.66, 'qpu_access_time': 29192.36, 'qpu_access_overhead_time': 4341.64, 'qpu_programming_time': 15072.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 989.0, 'post_processing_overhead_time': 989.0}
71: min_energy: 2637.0, max_energy: 17675.0, {'qpu_sampling_time': 16164.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 121.1, 'qpu_access_time': 31233.56, 'qpu_access_overhead_time': 3705.44, 'qpu_programming_time': 15069.56, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 657.0, 'post_processing_overhead_time': 657.0}
72: min_energy: 241.0, max_energy: 1460.0, {'qpu_sampling_time': 18710.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 146.56, 'qpu_access_time': 33779.16, 'qpu_access_overhead_time': 2537.84, 'qpu_programming_time': 15069.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1645.0, 'post_processing_overhead_time': 1645.0}
